solve_message = 'CONOPT 3.17A Locally infeasible; objective 655.3634589
58 iterations; evals nf = 4, ng = 0, nc = 784, nJ = 66, nH = 0, nHv = 7'

            _varname               _var          =
428    'x[2,4,1]'                  4.52588e-12
429    'x[2,4,2]'                  0.38257
430    'x[2,4,3]'                  0.61743
431    'x[2,5,1]'                  1.76526e-11
432    'x[2,5,2]'                  0.583684
433    'x[2,5,3]'                  0.416316
434    'x[2,6,1]'                  5.99911e-11
435    'x[2,6,2]'                  0.763265
436    'x[2,6,3]'                  0.236735
437    'x[2,7,1]'                  1.82644e-10
438    'x[2,7,2]'                  0.88251
439    'x[2,7,3]'                  0.11749
440    'x[2,8,1]'                  5.19871e-10
441    'x[2,8,2]'                  0.946352
442    'x[2,8,3]'                  0.0536484
443    'x[2,9,1]'                  1.42975e-09
444    'x[2,9,2]'                  0.976523
445    'x[2,9,3]'                  0.0234766
446    'x[2,10,1]'                 3.8702e-09
447    'x[2,10,2]'                 0.989926
448    'x[2,10,3]'                 0.0100735
449    'x[2,11,1]'                 1.04035e-08
450    'x[2,11,2]'                 0.995715
451    'x[2,11,3]'                 0.00428528
452    'x[2,12,1]'                 2.78821e-08
453    'x[2,12,2]'                 0.998184
454    'x[2,12,3]'                 0.00181621
455    'x[2,13,1]'                 7.46304e-08
456    'x[2,13,2]'                 0.999231
457    'x[2,13,3]'                 0.000768537
458    'x[2,14,1]'                 1.99651e-07
459    'x[2,14,2]'                 0.999675
460    'x[2,14,3]'                 0.000324993
461    'x[2,15,1]'                 5.33984e-07
462    'x[2,15,2]'                 0.999862
463    'x[2,15,3]'                 0.000137391
464    'x[2,16,1]'                 1.42805e-06
465    'x[2,16,2]'                 0.99994
466    'x[2,16,3]'                 5.80755e-05
467    'x[2,17,1]'                 3.8189e-06
468    'x[2,17,2]'                 0.999972
469    'x[2,17,3]'                 2.45473e-05
470    'x[2,18,1]'                 1.02123e-05
471    'x[2,18,2]'                 0.999979
472    'x[2,18,3]'                 1.03753e-05
473    'x[2,19,1]'                 2.73089e-05
474    'x[2,19,2]'                 0.999968
475    'x[2,19,3]'                 4.38524e-06
476    'x[2,20,1]'                 7.30249e-05
477    'x[2,20,2]'                 0.999925
478    'x[2,20,3]'                 1.85339e-06
479    'x[2,21,1]'                 0.000195257
480    'x[2,21,2]'                 0.999804
481    'x[2,21,3]'                 7.83259e-07
482    'x[2,22,1]'                 0.000521993
483    'x[2,22,2]'                 0.999478
484    'x[2,22,3]'                 3.30936e-07
